What is Manchester United,"Manchester United is a professional football club based in Manchester, England. It was founded in 1878 and is one of the most successful football clubs in the world. "
How many Premier League titles has Manchester United won,"Manchester United has won 13 Premier League titles, the most of any English club."
Who is Manchester United all-time leading goal scorer,"Manchester United's all-time leading goal scorer is Sir Bobby Charlton, who scored 249 goals for the club between 1956 and 1973."
Who is the current manager of Manchester United,"The current manager of Manchester United is Erik Ten Hag."
What is Manchester United home stadium called,"Manchester United's home stadium is called Old Trafford."
How many Champions League titles has Manchester United won,"Manchester United has won three Champions League titles, in 1968, 1999, and 2008."
Who is Manchester United biggest rival,"Manchester United's biggest rival is Manchester City. The two clubs are both based in Manchester and their matches are known as the Manchester Derby."
What is the capacity of Old Trafford,"The capacity of Old Trafford is 75,640, making it the second-largest stadium in England."
What is Manchester United nickname,"Manchester United's nickname is the Red Devils."
How many FA Cup titles has Manchester United won,"Manchester United has won 12 FA Cup titles, the joint-most of any English club alongside Arsenal."
Who is Manchester United record signing,"Manchester United's record signing is Paul Pogba, who was signed from Juventus for a fee of £89 million plus in 2016."
Who is Manchester United most expensive sale,"Manchester United's most expensive sale is Cristiano Ronaldo, who was sold to Real Madrid for a fee of £80 million in 2009."
Who is Manchester United all-time appearance maker,"Manchester United's all-time appearance maker is Ryan Giggs, who made 963 appearances for the club between 1990 and 2014."
Who is Manchester United most successful manager," Manchester United's most successful manager is Sir Alex Ferguson, who won 38 trophies during his 26-year tenure at the club."
What is the name of Manchester United official stadium announcer,"Manchester United's official stadium announcer is Alan Keegan."
What is the name of Manchester United youth academy,"Manchester United's youth academy is called the Manchester United Academy or the Manchester United Youth Academy."
Who is Manchester United highest-paid player,"As of 2023, the highest-paid player at Manchester United is David De Gea, who reportedly earns £375,000 per week."
What is the Class of 92 and why is it significant to Manchester United,"The Class of 92 refers to a group of young players who came through Manchester United's youth academy in the early 1990s, including David Beckham, Ryan Giggs, and Paul Scholes. They went on to become key players for the club and helped Manchester United win a number of trophies, including the treble in 1999."
What is the Munich air disaster and how did it impact Manchester United,"The Munich air disaster was a plane crash that occurred in 1958, in which a number of Manchester United players and staff members were killed. The tragedy had a profound impact on the club, but the team eventually rebuilt and went on to become one of the most successful clubs in the world."
What is the Busby Babes,"The Busby Babes were a group of young players who came through Manchester United's youth academy under the guidance of manager Matt Busby in the 1950s. The team played an attacking style of football and won a number of trophies, but the tragedy of the Munich air disaster in 1958 cut short their potential."
What is the significance of the Treble in Manchester United history,"The Treble refers to the achievement of winning three major trophies in a single season: the Premier League, the FA Cup, and the Champions League. Manchester United achieved the Treble in the 1998-1999 season, becoming the first English team to do so. It is considered one of the greatest achievements in the history of English football."
where do Manchester United Stand in the current premier league table,"As of 2023, Manchester United currently sits in the third postion of the 2022/2023 premier league." 
